time,temp_air,ghi,wind_speed,dhi,dni,zenith,azimuth
2020-12-31 23:30:00,0.47240600585939774,-8.680555555555556e-06,2.0108683,-4.340277777777778e-06,0.0,150.88747307085202,353.64094908955775
2021-01-01 00:30:00,0.30401000976564774,-8.680555555555556e-06,1.9457252,-4.340277777777778e-06,0.0,149.65021519568938,21.563003493583096
2021-01-01 01:30:00,0.44136962890627274,-8.680555555555556e-06,2.0852108,-4.340277777777778e-06,0.0,144.5326093215144,45.33121380321802
2021-01-01 02:30:00,0.24144897460939774,-8.680555555555556e-06,2.3527632,-4.340277777777778e-06,0.0,137.0065387988498,63.73652484138859
2021-01-01 03:30:00,0.39977416992189774,-8.680555555555556e-06,2.4957597,-4.340277777777778e-06,0.0,128.2841612609298,78.33944615361565
2021-01-01 04:30:00,0.6718078613281477,-8.680555555555556e-06,2.5679007,-4.340277777777778e-06,0.0,119.10759732929549,90.76325734259206
2021-01-01 05:30:00,1.0844055175781477,-8.680555555555556e-06,2.587263,-4.340277777777778e-06,0.0,109.94756102449274,102.12949615679781
2021-01-01 06:30:00,1.2554870605468977,-8.680555555555556e-06,2.6997378,-4.340277777777778e-06,0.0,101.16175278285482,113.18933783188754
2021-01-01 07:30:00,1.8097473144531477,0.14111979166666666,2.749527,0.14112413194444443,0.0,93.0815818432865,124.47290269364908
2021-01-01 08:30:00,1.8504577636718977,30.34815972222222,2.947698,21.17587239583333,133.34808862534064,86.0558216243688,136.35832460501507
2021-01-01 09:30:00,2.7450805664062727,109.17207465277778,3.3158777,52.335881076388894,342.99988025408743,80.46191010795677,149.06761611171777
2021-01-01 10:30:00,4.198632812500023,163.59178819444443,3.3513165,66.41768229166665,421.765265703122,76.67946278644573,162.61251349729218
2021-01-01 11:30:00,4.975244140625023,180.88944444444445,3.5280614,71.82184027777778,421.9818997128418,75.0209924738998,176.74516547336293
2021-01-01 12:30:00,5.426934814453148,145.86741319444445,3.6992686,75.76944010416668,282.66185774938526,75.64125955732743,190.99981383778567
2021-01-01 13:30:00,5.292810058593773,89.49213541666667,2.7335587,57.33319878472223,161.0406200775026,78.48090138003218,204.86171411990713
2021-01-01 14:30:00,5.064538574218773,57.59833767361111,2.4336948,33.98895399305556,202.02666673811692,83.28892502779176,217.96981829517082
2021-01-01 15:30:00,3.9547363281250227,6.683177083333334,2.4233012,4.8346875,0.0,89.70549673976909,230.21970398745427
2021-01-01 16:30:00,3.3940063476562727,-8.680555555555556e-06,2.656049,-4.340277777777778e-06,0.0,97.34607521234996,241.74550850135677
2021-01-01 17:30:00,2.5332885742187727,-8.680555555555556e-06,2.8074868,-4.340277777777778e-06,0.0,105.84781889099898,252.85853884149594
2021-01-01 18:30:00,2.5905090332031477,-8.680555555555556e-06,2.8884375,-4.340277777777778e-06,0.0,114.87435594370595,264.01608066901025
2021-01-01 19:30:00,2.3068176269531477,-8.680555555555556e-06,2.8832266,-4.340277777777778e-06,0.0,124.0869391364325,275.85493601151734
2021-01-01 20:30:00,2.1886535644531477,-8.680555555555556e-06,2.811817,-4.340277777777778e-06,0.0,133.07998728602107,289.30465096261224
2021-01-01 21:30:00,2.5383239746093977,-8.680555555555556e-06,2.980359,-4.340277777777778e-06,0.0,141.25911989383314,305.7556961750404
2021-01-01 22:30:00,2.5413757324218977,-8.680555555555556e-06,2.7656043,-4.340277777777778e-06,0.0,147.64394014458915,326.963753507295
2021-01-01 23:30:00,2.5201660156250227,0.0,2.5926893,0.0,-0.0,150.79360132884,353.43372754624846
2021-01-02 00:30:00,2.6046997070312727,0.0,2.534884,0.0,-0.0,149.592827176017,21.31478365537231
2021-01-02 01:30:00,2.8337341308593977,0.0,2.5977023,0.0,-0.0,144.50742536995568,45.09712408807047
2021-01-02 02:30:00,2.8687683105468977,0.0,2.5602794,0.0,-0.0,137.0013629498111,63.53379843491314
2021-01-02 03:30:00,2.8590332031250227,0.0,2.3571932,0.0,-0.0,128.2885746994612,78.16307566269859
2021-01-02 04:30:00,2.7417846679687727,0.0,2.4133976,0.0,-0.0,119.11431468263262,90.6047237808221
2021-01-02 05:30:00,2.6513305664062727,0.0,2.4614503,0.0,-0.0,109.9512885154622,101.98185351267807
2021-01-02 06:30:00,2.4693237304687727,0.0,2.3689835,0.0,-0.0,101.15820217752389,113.04770839213597
2021-01-02 07:30:00,2.4647766113281477,0.12355034722222222,2.1782646,0.12355034722222222,-0.0,93.0669324976315,124.33431606364229
2021-01-02 08:30:00,2.7352844238281477,28.90740451388889,2.4359624,17.743854166666665,161.1045258724486,86.02657157635718,136.2217794042014
2021-01-02 09:30:00,3.1697631835937727,100.76578993055556,2.583355,50.84502170138889,299.80857801607084,80.41510472394435,148.93436353058013
2021-01-02 10:30:00,3.8539978027343977,156.26744791666667,2.3457532,69.15733506944444,376.248879822217,76.61327079116946,162.48612651162227
2021-01-02 11:30:00,4.539941406250023,169.0309201388889,2.12058,77.58239583333334,351.8492784364872,74.93538290178363,176.63071029949958
2021-01-02 12:30:00,4.831201171875023,164.53161458333332,1.7235088,68.19336805555554,385.7642482486652,75.53825878127186,190.9019407603854
2021-01-02 13:30:00,5.043298339843773,127.89200520833333,1.1595306,63.26950086805556,320.4011060509118,78.36404992252486,204.78273180683016
2021-01-02 14:30:00,4.337548828125023,59.59256076388889,0.52234155,33.40625434027778,219.94417918254138,83.16220932325734,217.90914015501943
2021-01-02 15:30:00,3.5387207031250227,7.076701388888889,1.0255991,5.299470486111112,0.0,89.57242634500832,230.17469065850048
